"Notes","County","County Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Autauga County, AL","01001","American Indian or Alaska Native","1002-5",0,266,Unreliable
,"Autauga County, AL","01001","Asian","A",Suppressed,656,Suppressed
,"Autauga County, AL","01001","Black or African American","2054-5",91,11237,809.8
,"Autauga County, AL","01001","Native Hawaiian or Other Pacific Islander","NHOPI",0,58,Unreliable
,"Autauga County, AL","01001","White","2106-3",451,42607,1058.5
,"Autauga County, AL","01001","More than one race","M",0,1045,Unreliable
,"Baldwin County, AL","01003","American Indian or Alaska Native","1002-5",Suppressed,1742,Suppressed
,"Baldwin County, AL","01003","Asian","A",14,2380,Unreliable
,"Baldwin County, AL","01003","Black or African American","2054-5",169,19593,862.6
,"Baldwin County, AL","01003","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,154,Suppressed
,"Baldwin County, AL","01003","White","2106-3",2090,195198,1070.7
,"Baldwin County, AL","01003","More than one race","M",Suppressed,4167,Suppressed
,"Barbour County, AL","01005","American Indian or Alaska Native","1002-5",Suppressed,170,Suppressed
,"Barbour County, AL","01005","Asian","A",0,116,Unreliable
,"Barbour County, AL","01005","Black or African American","2054-5",143,11906,1201.1
,"Barbour County, AL","01005","Native Hawaiian or Other Pacific Islander","NHOPI",0,52,Unreliable
,"Barbour County, AL","01005","White","2106-3",189,12134,1557.6
,"Barbour County, AL","01005","More than one race","M",Suppressed,308,Suppressed
,"Bibb County, AL","01007","American Indian or Alaska Native","1002-5",0,103,Unreliable
,"Bibb County, AL","01007","Asian","A",0,48,Unreliable
,"Bibb County, AL","01007","Black or African American","2054-5",45,4763,944.8
,"Bibb County, AL","01007","Native Hawaiian or Other Pacific Islander","NHOPI",0,26,Unreliable
,"Bibb County, AL","01007","White","2106-3",219,17191,1273.9
,"Bibb County, AL","01007","More than one race","M",0,263,Unreliable
,"Blount County, AL","01009","American Indian or Alaska Native","1002-5",Suppressed,370,Suppressed
,"Blount County, AL","01009","Asian","A",Suppressed,185,Suppressed
,"Blount County, AL","01009","Black or African American","2054-5",12,978,Unreliable
,"Blount County, AL","01009","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,67,Suppressed
,"Blount County, AL","01009","White","2106-3",699,55412,1261.5
,"Blount County, AL","01009","More than one race","M",0,814,Unreliable
,"Bullock County, AL","01011","American Indian or Alaska Native","1002-5",0,84,Unreliable
,"Bullock County, AL","01011","Asian","A",Suppressed,21,Suppressed
,"Bullock County, AL","01011","Black or African American","2054-5",84,7097,1183.6
,"Bullock County, AL","01011","Native Hawaiian or Other Pacific Islander","NHOPI",0,77,Unreliable
,"Bullock County, AL","01011","White","2106-3",33,2689,1227.2
,"Bullock County, AL","01011","More than one race","M",0,133,Unreliable
,"Butler County, AL","01013","American Indian or Alaska Native","1002-5",0,77,Unreliable
,"Butler County, AL","01013","Asian","A",0,279,Unreliable
,"Butler County, AL","01013","Black or African American","2054-5",88,8747,1006.1
,"Butler County, AL","01013","Native Hawaiian or Other Pacific Islander","NHOPI",0,8,Unreliable
,"Butler County, AL","01013","White","2106-3",156,10127,1540.4
,"Butler County, AL","01013","More than one race","M",0,210,Unreliable
,"Calhoun County, AL","01015","American Indian or Alaska Native","1002-5",Suppressed,605,Suppressed
,"Calhoun County, AL","01015","Asian","A",Suppressed,1024,Suppressed
,"Calhoun County, AL","01015","Black or African American","2054-5",204,24213,842.5
,"Calhoun County, AL","01015","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,127,Suppressed
,"Calhoun County, AL","01015","White","2106-3",1199,85322,1405.3
,"Calhoun County, AL","01015","More than one race","M",Suppressed,2314,Suppressed
,"Chambers County, AL","01017","American Indian or Alaska Native","1002-5",0,109,Unreliable
,"Chambers County, AL","01017","Asian","A",Suppressed,374,Suppressed
,"Chambers County, AL","01017","Black or African American","2054-5",121,13365,905.3
,"Chambers County, AL","01017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,15,Suppressed
,"Chambers County, AL","01017","White","2106-3",302,18970,1592.0
,"Chambers County, AL","01017","More than one race","M",0,421,Unreliable
,"Cherokee County, AL","01019","American Indian or Alaska Native","1002-5",0,181,Unreliable
,"Cherokee County, AL","01019","Asian","A",Suppressed,103,Suppressed
,"Cherokee County, AL","01019","Black or African American","2054-5",16,1073,Unreliable
,"Cherokee County, AL","01019","Native Hawaiian or Other Pacific Islander","NHOPI",0,8,Unreliable
,"Cherokee County, AL","01019","White","2106-3",365,24409,1495.4
,"Cherokee County, AL","01019","More than one race","M",0,422,Unreliable
,"Chilton County, AL","01021","American Indian or Alaska Native","1002-5",0,250,Unreliable
,"Chilton County, AL","01021","Asian","A",Suppressed,217,Suppressed
,"Chilton County, AL","01021","Black or African American","2054-5",36,4596,783.3
,"Chilton County, AL","01021","Native Hawaiian or Other Pacific Islander","NHOPI",0,77,Unreliable
,"Chilton County, AL","01021","White","2106-3",456,38677,1179.0
,"Chilton County, AL","01021","More than one race","M",0,611,Unreliable
,"Choctaw County, AL","01023","American Indian or Alaska Native","1002-5",0,26,Unreliable
