"state","county","fips","race","deaths_2019","population_2019","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","mean_household_income","private_insurance","public_insurance","no_insurance","percent_insured","percent_uninsured","population_covid","mortrate_2019","mortrate_covid","mortrate_change","income_pctile","education_pctile"
"AL","Autauga",1001,"Black or African American",91,11237,399,119.7,28.1,79498,71.7,34.2,7.9,91.3,8.7,11354,809.824686304174,1054.25400739827,244.4293210941,67,77
"AL","Autauga",1001,"White",451,42607,1788,536.4,28.1,79498,71.7,34.2,7.9,92.3,7.7,42680,1058.51151219283,1256.79475164011,198.28323944728,67,77
"AL","Baldwin",1003,"Black or African American",169,19593,734,220.2,32.5,87709,69.7,35.9,9.7,88.9,11.1,19247,862.552952585107,1144.07440120538,281.521448620276,81,85
"AL","Baldwin",1003,"White",2090,195198,8690,2607,32.5,87709,69.7,35.9,9.7,91.5,8.5,190107,1070.70769167717,1371.33298616043,300.625294483257,81,85
"AL","Barbour",1005,"Black or African American",143,11906,516,154.8,11.2,55066,52.2,51.7,10.4,90.3,9.7,10286,1201.07508819083,1504.95819560568,303.88310741485,8,5
"AL","Barbour",1005,"White",189,12134,668,200.4,11.2,55066,52.2,51.7,10.4,92.5,7.5,10440,1557.60672490523,1919.54022988506,361.933504979833,8,5
"AL","Bibb",1007,"Black or African American",45,4763,154,46.2,11.9,67396,62.6,40.9,10,87.4,12.6,4232,944.782699979005,1091.68241965974,146.899719680731,34,7
"AL","Bibb",1007,"White",219,17191,843,252.9,11.9,67396,62.6,40.9,10,91.2,8.8,16426,1273.92240125647,1539.63229027152,265.709889015049,34,7
"AL","Blount",1009,"Black or African American",12,978,39,11.7,14.9,71849,65.3,36.8,10,91.1,8.9,621,1226.99386503067,1884.05797101449,657.064105983818,47,18
"AL","Blount",1009,"White",699,55412,2712,813.6,14.9,71849,65.3,36.8,10,90.5,9.5,54144,1261.45961163647,1502.65957446809,241.199962831617,47,18
"AL","Bullock",1011,"Black or African American",84,7097,358,107.4,11.7,46257,44.7,53.5,10.1,91.9,8.1,6960,1183.59870367761,1543.10344827586,359.504744598252,2,6
"AL","Bullock",1011,"White",33,2689,112,33.6,11.7,46257,44.7,53.5,10.1,87.5,12.5,2442,1227.22201561919,1375.92137592138,148.699360302187,2,6
"AL","Butler",1013,"Black or African American",88,8747,399,119.7,14,63862,63.5,41.4,11.4,82.7,17.3,8534,1006.0592203041,1402.6247949379,396.565574633791,24,14
"AL","Butler",1013,"White",156,10127,625,187.5,14,63862,63.5,41.4,11.4,93.7,6.3,9693,1540.43645699615,1934.38563912102,393.949182124866,24,14
"AL","Calhoun",1015,"Black or African American",204,24213,945,283.5,19.5,65287,64.6,41.2,11.2,87.8,12.2,24621,842.522611820097,1151.4560740831,308.933462263003,28,45
"AL","Calhoun",1015,"White",1199,85322,4968,1490.4,19.5,65287,64.6,41.2,11.2,89.8,10.2,83776,1405.26476172617,1779.02979373568,373.765032009509,28,45
"AL","Chambers",1017,"Black or African American",121,13365,644,193.2,13.7,59993,59.9,42.7,10.5,86.8,13.2,13814,905.349794238683,1398.58114955842,493.231355319736,15,13
"AL","Chambers",1017,"White",302,18970,1185,355.5,13.7,59993,59.9,42.7,10.5,91.3,8.7,19648,1591.98734844491,1809.34446254072,217.357114095804,15,13
"AL","Cherokee",1019,"Black or African American",16,1073,58,17.4,12.8,63492,64.1,43.8,9.8,94,6,1108,1491.14631873253,1570.39711191336,79.2507931808316,23,10
